student_id,gender,ethnicity,parent_education,lunch,test_preparation,math_score,reading_score,writing_score,sports_participation,absences,extra_classes,psychological_score,tech_access,internet_quality,daily_study_hours,social_activity_level,motivation_level
S0031,Male,Group B,Bachelor's degree,Free/Reduced,Completed,68,93,35,Yes,19,Yes,1,No,Good,1.6,Medium,7
S0032,Female,Group D,Master's degree,Standard,None,85,38,72,No,0,Yes,8,No,Average,4.8,Low,8
S0033,Male,Group E,Bachelor's degree,Free/Reduced,None,83,75,61,No,27,Yes,10,No,Poor,5.2,Low,1
S0034,Male,Group D,Bachelor's degree,Standard,None,67,85,78,Yes,9,Yes,7,Yes,Poor,1.6,High,6
S0035,Male,Group B,Master's degree,Free/Reduced,None,83,85,48,No,12,No,4,No,Good,5,High,3
S0036,Male,Group A,Master's degree,Standard,None,48,55,81,Yes,11,No,1,Yes,Good,4.4,Medium,5
S0037,Female,Group D,Associate degree,Standard,None,55,89,81,No,10,No,6,Yes,Good,5.3,High,2
S0038,Female,Group E,Bachelor's degree,Standard,Completed,81,77,63,Yes,3,Yes,10,No,Good,3.3,Low,4
S0039,Male,Group D,Some college,Free/Reduced,None,90,87,88,No,16,No,7,No,Good,1.8,Low,6
S0040,Female,Group C,High school,Standard,Completed,96,92,34,No,14,Yes,6,No,Average,5.5,Medium,1
S0041,Female,Group D,High school,Standard,Completed,51,87,95,No,20,Yes,6,No,Poor,4.8,Low,2
S0042,Female,Group B,Master's degree,Standard,Completed,46,32,70,Yes,28,Yes,8,Yes,Poor,0.6,Medium,2
S0043,Male,Group D,Master's degree,Standard,Completed,40,36,63,No,2,No,6,No,Average,5.7,High,9
S0044,Male,Group E,Associate degree,Standard,None,68,81,83,No,28,No,2,Yes,Good,5.7,Medium,5
S0045,Female,Group D,Bachelor's degree,Standard,None,90,91,49,Yes,9,Yes,7,Yes,Average,2.5,Low,5
S0046,Female,Group D,Master's degree,Standard,None,78,31,83,Yes,20,Yes,10,Yes,Good,0.6,High,6
S0047,Female,Group E,Master's degree,Standard,Completed,90,62,95,Yes,13,No,4,Yes,Poor,3.5,Low,10
S0048,Female,Group D,High school,Standard,None,41,41,47,Yes,18,No,3,No,Poor,5.5,Low,3
S0049,Male,Group E,Bachelor's degree,Free/Reduced,Completed,42,77,73,Yes,20,No,8,Yes,Good,1.2,High,9
S0050,Female,Group B,Associate degree,Standard,Completed,87,82,77,No,3,No,10,Yes,Average,3.7,Low,3
S0051,Male,Group E,Master's degree,Standard,None,40,70,64,Yes,24,No,5,No,Good,4.5,Low,4
S0052,Male,Group B,Master's degree,Standard,Completed,93,87,68,Yes,13,No,4,No,Good,1.2,High,9
S0053,Male,Group B,Master's degree,Free/Reduced,Completed,60,97,32,No,5,No,4,No,Poor,3.3,Low,10
S0054,Male,Group E,High school,Standard,Completed,40,52,48,Yes,11,No,5,No,Good,1,Medium,8
S0055,Male,Group D,Master's degree,Standard,Completed,72,65,47,Yes,29,No,4,Yes,Average,3.6,Low,6
S0056,Male,Group C,Master's degree,Free/Reduced,None,65,50,34,No,25,Yes,3,Yes,Good,2.9,Low,8
S0057,Male,Group E,High school,Free/Reduced,Completed,31,84,84,No,1,Yes,4,Yes,Poor,2,High,1
S0058,Female,Group D,Master's degree,Free/Reduced,Completed,90,85,42,Yes,16,Yes,10,Yes,Average,5.2,Medium,4
S0059,Male,Group B,Bachelor's degree,Standard,Completed,65,42,63,Yes,0,Yes,5,Yes,Average,2.6,Low,10
S0060,Female,Group A,Bachelor's degree,Standard,None,78,51,47,No,16,No,2,Yes,Poor,4.3,High,4
S0061,Female,Group C,High school,Standard,None,56,36,97,Yes,24,Yes,7,No,Poor,4.8,Low,2
S0062,Female,Group D,Bachelor's degree,Standard,Completed,41,53,72,No,4,Yes,5,No,Good,1.5,Low,2
S0063,Female,Group C,Associate degree,Free/Reduced,None,87,90,94,No,15,Yes,9,Yes,Poor,1.2,Low,10
S0064,Female,Group A,Master's degree,Free/Reduced,None,35,34,70,No,13,No,6,Yes,Poor,0.5,Medium,9
S0065,Male,Group A,Associate degree,Standard,None,73,79,67,Yes,19,No,1,Yes,Poor,2.2,High,6
S0066,Male,Group A,Bachelor's degree,Free/Reduced,None,76,91,67,Yes,9,No,9,Yes,Poor,5,Medium,7
S0067,Female,Group E,High school,Standard,Completed,52,84,42,Yes,20,Yes,5,Yes,Average,4.8,Low,4
S0068,Female,Group C,High school,Standard,Completed,55,55,51,No,24,Yes,9,No,Average,5.3,Medium,3
S0069,Female,Group E,Associate degree,Standard,None,36,39,58,Yes,2,Yes,1,No,Average,4.7,Low,3
S0070,Male,Group A,Bachelor's degree,Standard,None,61,40,38,Yes,2,Yes,2,No,Poor,0.6,Medium,5
S0071,Female,Group D,Master's degree,Free/Reduced,None,62,69,97,No,27,No,3,Yes,Good,2.6,High,6
S0072,Male,Group A,Bachelor's degree,Free/Reduced,None,49,40,46,Yes,17,No,5,Yes,Good,0.5,Medium,2
S0073,Male,Group E,Bachelor's degree,Standard,None,98,33,66,Yes,23,Yes,6,No,Good,0.7,High,7
S0074,Female,Group A,High school,Standard,None,81,31,93,No,22,Yes,5,Yes,Good,3.1,Low,7
S0075,Male,Group A,Some college,Free/Reduced,None,71,68,96,No,17,No,1,Yes,Average,2.5,High,1
S0076,Male,Group E,Master's degree,Free/Reduced,Completed,30,52,33,No,3,Yes,4,Yes,Good,3.6,Low,7
S0077,Male,Group E,Master's degree,Standard,Completed,92,74,69,Yes,6,No,6,Yes,Average,0.9,Medium,4
S0078,Female,Group D,High school,Free/Reduced,None,36,71,45,Yes,0,No,4,No,Good,3.7,Medium,4
S0079,Female,Group E,Bachelor's degree,Free/Reduced,None,87,71,40,Yes,15,No,4,Yes,Good,0.9,High,3
S0080,Female,Group D,High school,Free/Reduced,Completed,79,58,55,No,16,Yes,5,No,Average,2.8,Medium,9
S0081,Female,Group B,Bachelor's degree,Standard,Completed,63,45,94,Yes,7,No,8,Yes,Average,2.4,Medium,3
S0082,Female,Group B,Some college,Free/Reduced,None,80,96,31,Yes,5,Yes,5,No,Good,1.7,Low,4
S0083,Female,Group E,Some college,Free/Reduced,Completed,39,89,74,Yes,1,Yes,7,No,Poor,2.2,Medium,3
S0084,Female,Group A,Associate degree,Free/Reduced,Completed,55,33,72,No,25,No,8,Yes,Good,0.5,Low,8
S0085,Female,Group C,Bachelor's degree,Free/Reduced,None,61,45,32,Yes,9,Yes,6,No,Good,2.3,High,8
S0086,Male,Group A,High school,Free/Reduced,Completed,71,70,63,No,16,Yes,6,No,Good,0.9,Medium,10
S0087,Female,Group E,High school,Standard,None,91,35,94,Yes,18,No,2,No,Average,5.6,High,8
S0088,Male,Group D,High school,Free/Reduced,Completed,41,71,93,No,27,Yes,10,No,Good,0.9,Medium,5
S0089,Male,Group A,Associate degree,Free/Reduced,None,69,86,36,No,3,Yes,5,No,Poor,5.7,High,7
S0090,Female,Group B,Master's degree,Free/Reduced,Completed,63,57,64,Yes,12,Yes,1,Yes,Good,3.2,High,3
S0091,Male,Group E,High school,Free/Reduced,Completed,99,52,51,Yes,20,Yes,9,No,Poor,3.3,Low,8
S0092,Male,Group A,Some college,Standard,None,56,71,77,No,26,Yes,7,Yes,Poor,4.8,Medium,10
S0093,Female,Group A,High school,Standard,Completed,37,41,61,No,25,Yes,2,No,Poor,4.3,High,2
S0094,Male,Group D,High school,Standard,Completed,76,93,55,Yes,18,Yes,6,No,Good,1.8,Low,8
S0095,Female,Group D,High school,Free/Reduced,None,55,87,35,No,15,Yes,10,Yes,Average,0.6,High,6
S0096,Male,Group D,Master's degree,Free/Reduced,Completed,86,80,75,No,12,Yes,9,No,Average,4.8,High,2
S0097,Male,Group C,High school,Standard,Completed,36,58,84,No,29,Yes,5,No,Good,1.2,High,6
S0098,Female,Group E,Master's degree,Standard,None,55,48,84,Yes,4,No,3,No,Good,3.8,Medium,10
S0099,Male,Group E,Master's degree,Standard,None,88,74,86,No,11,Yes,10,Yes,Poor,5.7,Medium,2
S0100,Male,Group B,Associate degree,Standard,None,98,83,92,Yes,6,No,4,Yes,Good,3.5,High,3
S0101,Female,Group B,Some college,Standard,None,76,95,30,Yes,26,Yes,3,No,Average,2.1,High,5
S0102,Female,Group E,High school,Standard,None,64,42,50,Yes,8,Yes,1,Yes,Good,1.5,High,1
S0103,Male,Group A,High school,Free/Reduced,None,59,94,49,No,4,Yes,10,No,Good,0.6,Medium,9
S0104,Male,Group E,High school,Free/Reduced,None,79,41,58,No,3,No,7,Yes,Good,3.9,High,10
S0105,Female,Group C,Master's degree,Standard,None,53,43,72,No,9,Yes,8,Yes,Poor,3.6,High,3
S0106,Male,Group B,Bachelor's degree,Free/Reduced,Completed,59,71,74,Yes,15,Yes,2,Yes,Good,3,High,1
S0107,Female,Group B,Some college,Free/Reduced,Completed,83,77,94,Yes,10,Yes,8,No,Good,1.6,High,6
S0108,Female,Group B,High school,Standard,None,96,53,32,Yes,28,Yes,9,Yes,Good,1.8,Medium,1
S0109,Female,Group E,Bachelor's degree,Standard,Completed,61,94,49,Yes,8,No,7,No,Average,5.8,Low,3
S0110,Male,Group B,Bachelor's degree,Free/Reduced,None,37,46,66,Yes,23,Yes,1,Yes,Poor,0.6,Low,7
S0111,Male,Group B,Bachelor's degree,Free/Reduced,Completed,79,67,67,Yes,4,No,4,No,Poor,2.5,High,4
S0112,Male,Group E,Some college,Free/Reduced,Completed,76,57,74,Yes,24,Yes,7,No,Average,0.7,Low,9
S0113,Female,Group A,Bachelor's degree,Standard,None,75,62,71,Yes,10,Yes,6,Yes,Poor,1.6,Low,7
S0114,Male,Group B,High school,Free/Reduced,Completed,64,53,75,No,29,No,8,Yes,Average,5.6,Medium,5
S0115,Female,Group B,High school,Standard,Completed,90,99,89,No,8,No,6,No,Poor,1.3,High,9
S0116,Male,Group B,Associate degree,Standard,Completed,80,33,42,No,16,Yes,10,No,Poor,3.8,Medium,3
S0117,Female,Group C,Master's degree,Free/Reduced,None,92,62,60,No,27,No,6,Yes,Poor,2.4,Low,8
S0118,Female,Group E,Bachelor's degree,Standard,Completed,37,39,97,Yes,21,Yes,10,Yes,Good,4,Low,8
S0119,Male,Group B,Master's degree,Standard,Completed,63,65,91,No,10,Yes,6,No,Poor,5.2,High,4
S0120,Female,Group C,Master's degree,Standard,None,54,60,78,Yes,20,Yes,7,No,Good,2.1,High,1
S0121,Male,Group A,Master's degree,Free/Reduced,Completed,73,33,47,No,5,No,5,No,Good,0.9,Medium,4
S0122,Male,Group A,Master's degree,Free/Reduced,Completed,72,37,82,Yes,25,No,9,No,Good,1.6,High,9
S0123,Male,Group C,Master's degree,Free/Reduced,Completed,79,56,47,No,15,Yes,7,Yes,Average,2.9,Low,10
S0124,Male,Group A,High school,Standard,Completed,42,65,80,No,18,Yes,1,Yes,Poor,3.3,Medium,1
S0125,Male,Group D,Some college,Free/Reduced,None,75,38,70,No,13,Yes,9,Yes,Poor,5.7,Medium,3
S0126,Female,Group A,Bachelor's degree,Standard,None,82,72,96,Yes,2,No,6,Yes,Poor,0.6,High,8
S0127,Male,Group D,Bachelor's degree,Free/Reduced,None,92,53,94,No,9,No,8,Yes,Good,4.7,High,3
S0128,Female,Group C,High school,Standard,Completed,31,66,35,No,20,Yes,9,Yes,Poor,0.9,Low,2
S0129,Male,Group D,High school,Free/Reduced,None,69,70,66,No,22,Yes,2,No,Good,0.9,Medium,1
S0130,Female,Group A,Master's degree,Free/Reduced,Completed,52,55,41,No,3,No,2,Yes,Good,4.1,Medium,9
S0131,Female,Group B,Some college,Standard,Completed,88,33,31,No,21,No,5,No,Good,5.5,Medium,10
S0132,Male,Group D,Bachelor's degree,Standard,None,98,30,82,Yes,20,No,5,Yes,Good,2.1,Medium,3
S0133,Female,Group A,Associate degree,Free/Reduced,None,63,49,54,Yes,1,No,10,Yes,Poor,2,Low,7
S0134,Male,Group B,High school,Free/Reduced,None,56,74,57,No,12,Yes,10,No,Good,3.9,Low,10
S0135,Male,Group C,Associate degree,Standard,Completed,84,98,74,Yes,10,No,2,Yes,Average,4.8,Low,3
S0136,Male,Group C,Bachelor's degree,Free/Reduced,Completed,33,81,66,No,11,No,10,No,Average,5.3,High,8
S0137,Female,Group E,High school,Standard,Completed,97,93,46,No,0,Yes,4,No,Average,1.9,Low,9
S0138,Female,Group C,Bachelor's degree,Standard,Completed,99,50,98,No,21,No,9,No,Good,4.6,Low,8
S0139,Female,Group E,High school,Standard,None,56,54,85,No,20,No,4,Yes,Poor,2.2,Low,5
S0140,Female,Group C,Bachelor's degree,Standard,None,76,96,87,Yes,8,Yes,1,No,Poor,3.5,Low,10
S0141,Male,Group C,Associate degree,Standard,Completed,69,55,33,No,11,Yes,5,No,Good,1.5,High,2
S0142,Male,Group C,Some college,Standard,Completed,56,56,84,No,6,Yes,2,No,Good,1.3,Medium,6
S0143,Female,Group E,High school,Standard,None,36,81,78,Yes,16,Yes,6,No,Good,5.6,Medium,8
S0144,Female,Group E,Associate degree,Standard,None,52,92,67,No,28,No,1,No,Average,3.5,High,2
S0145,Male,Group D,Bachelor's degree,Standard,Completed,93,74,74,No,9,Yes,7,Yes,Good,0.5,Low,6
S0146,Female,Group A,Associate degree,Standard,None,58,87,59,Yes,5,Yes,7,Yes,Good,4.9,Medium,7
S0147,Male,Group A,High school,Standard,Completed,90,67,66,Yes,26,No,4,Yes,Poor,4.3,Medium,9
S0148,Female,Group A,Associate degree,Standard,Completed,73,64,85,No,6,Yes,9,No,Poor,2.3,Medium,9
S0149,Female,Group C,Bachelor's degree,Standard,Completed,98,75,56,No,18,Yes,3,Yes,Average,3.1,Medium,2
S0150,Female,Group A,Master's degree,Standard,Completed,56,32,61,No,13,Yes,5,Yes,Average,3,Low,1
S0151,Male,Group E,Some college,Standard,None,41,35,40,Yes,24,No,5,No,Average,2,Medium,7
S0152,Male,Group D,Some college,Standard,None,46,42,87,No,26,No,8,No,Average,5.9,High,6
S0153,Female,Group B,Master's degree,Free/Reduced,Completed,66,75,64,No,29,No,10,Yes,Good,3.5,High,10
S0154,Female,Group D,High school,Free/Reduced,Completed,63,62,46,No,29,No,10,Yes,Good,5.4,Medium,10
S0155,Female,Group A,Associate degree,Standard,Completed,65,91,59,No,10,Yes,4,Yes,Average,3.7,Low,10
S0156,Female,Group A,Associate degree,Free/Reduced,Completed,35,92,47,Yes,1,No,1,No,Average,4.3,Medium,4
S0157,Female,Group E,Master's degree,Free/Reduced,Completed,61,85,59,Yes,0,No,5,Yes,Poor,0.7,Medium,9
S0158,Female,Group D,Master's degree,Free/Reduced,None,51,68,45,No,25,Yes,1,Yes,Poor,3.3,Medium,1
S0159,Female,Group E,Bachelor's degree,Standard,Completed,39,89,83,Yes,9,No,3,Yes,Poor,4.5,High,7
S0160,Female,Group E,Bachelor's degree,Standard,None,58,53,33,No,11,No,6,Yes,Average,1.2,High,5
S0161,Male,Group B,Some college,Standard,Completed,40,79,44,Yes,8,No,1,No,Poor,4.2,Low,5
S0162,Male,Group E,High school,Free/Reduced,Completed,95,62,56,Yes,22,No,10,Yes,Average,1,Medium,6
S0163,Male,Group E,High school,Free/Reduced,Completed,85,36,33,Yes,25,No,3,No,Good,4.9,Medium,2
S0164,Male,Group B,Master's degree,Standard,Completed,87,75,64,No,28,Yes,7,Yes,Average,5.9,Medium,3
S0165,Female,Group C,Some college,Free/Reduced,None,81,91,92,No,10,Yes,2,No,Good,3.9,Medium,9
S0166,Male,Group C,Some college,Free/Reduced,None,90,30,95,Yes,0,Yes,6,Yes,Good,0.9,High,4
S0167,Male,Group B,Bachelor's degree,Standard,None,46,94,68,No,19,No,7,Yes,Average,3.7,Low,6
S0168,Female,Group E,Associate degree,Free/Reduced,Completed,59,74,57,Yes,9,Yes,2,No,Poor,4.6,High,3
S0169,Male,Group A,High school,Free/Reduced,None,66,84,63,No,28,Yes,5,Yes,Average,5.6,Medium,3
S0170,Male,Group D,Some college,Standard,Completed,34,95,62,Yes,18,No,10,Yes,Poor,0.8,High,9
S0171,Male,Group A,Bachelor's degree,Free/Reduced,Completed,55,96,79,Yes,26,Yes,10,No,Good,4.8,Low,9
S0172,Male,Group A,Bachelor's degree,Standard,None,99,83,89,No,22,Yes,1,No,Good,1.2,Medium,3
S0173,Male,Group E,Bachelor's degree,Standard,Completed,30,92,71,No,20,No,3,No,Good,4.8,Medium,3
S0174,Female,Group D,Associate degree,Standard,Completed,38,83,57,Yes,24,Yes,1,Yes,Good,5.4,High,6
S0175,Female,Group D,Some college,Standard,None,93,81,56,No,10,Yes,3,Yes,Average,5.2,High,1
S0176,Female,Group C,Master's degree,Standard,None,53,83,30,Yes,2,No,4,No,Good,4.1,High,5
S0177,Male,Group B,Master's degree,Standard,Completed,34,96,37,Yes,26,No,5,No,Poor,3.3,Low,9
S0178,Male,Group E,Bachelor's degree,Standard,None,80,66,75,No,15,No,4,No,Poor,5.3,Low,9
S0179,Male,Group D,Bachelor's degree,Free/Reduced,None,67,41,53,No,21,No,4,Yes,Good,3.4,Low,8
S0180,Female,Group E,Associate degree,Standard,None,58,88,69,No,9,No,9,Yes,Average,1.5,Medium,6
S0181,Male,Group C,Bachelor's degree,Free/Reduced,Completed,75,49,80,No,1,No,9,No,Good,5.7,Medium,9
S0182,Male,Group A,Some college,Free/Reduced,Completed,81,61,53,Yes,18,No,9,No,Good,2.6,High,3
S0183,Male,Group D,Bachelor's degree,Standard,None,75,73,51,Yes,3,Yes,5,No,Poor,3.9,Medium,9
S0184,Male,Group C,Bachelor's degree,Free/Reduced,Completed,97,95,97,Yes,15,No,5,No,Average,1.6,Low,8
S0185,Female,Group E,Some college,Standard,Completed,88,84,37,No,5,No,2,Yes,Average,1.1,Medium,1
S0186,Female,Group C,High school,Standard,None,39,45,87,No,10,Yes,6,No,Poor,3.5,High,9
S0187,Male,Group C,Master's degree,Standard,None,33,97,44,Yes,16,No,2,No,Poor,3.6,High,8
S0188,Female,Group C,Bachelor's degree,Standard,None,81,81,37,No,14,No,10,Yes,Poor,2.5,High,8
S0189,Female,Group C,Some college,Standard,Completed,47,66,71,No,21,No,5,No,Average,2.2,High,6
S0190,Female,Group C,Master's degree,Standard,Completed,80,75,68,No,3,Yes,5,No,Poor,2.6,Medium,9
S0191,Male,Group C,Associate degree,Free/Reduced,Completed,52,70,64,Yes,23,Yes,4,Yes,Poor,4.9,High,8
S0192,Female,Group B,High school,Free/Reduced,Completed,54,34,70,Yes,24,Yes,5,No,Poor,2.5,Medium,2
S0193,Female,Group E,Bachelor's degree,Free/Reduced,None,89,95,77,No,7,Yes,7,No,Good,5.6,High,6
S0194,Male,Group A,High school,Free/Reduced,None,66,34,73,Yes,23,No,10,No,Average,1.1,High,8
S0195,Female,Group E,Bachelor's degree,Free/Reduced,None,97,92,64,Yes,28,Yes,2,Yes,Average,5.6,Medium,6
S0196,Female,Group D,Bachelor's degree,Standard,None,47,32,56,Yes,28,Yes,1,No,Good,4.3,Low,9
S0197,Female,Group D,Bachelor's degree,Free/Reduced,None,58,37,94,Yes,17,Yes,4,Yes,Average,2.4,Low,5
S0198,Male,Group E,High school,Standard,Completed,59,55,99,Yes,13,No,7,Yes,Poor,0.5,Low,8
S0199,Male,Group C,Associate degree,Standard,None,36,82,95,No,25,Yes,1,Yes,Good,4.9,Low,10
S0200,Female,Group B,Some college,Standard,Completed,70,58,92,Yes,1,No,4,No,Poor,5.8,High,2
S0201,Male,Group A,Some college,Standard,Completed,66,43,58,No,15,No,6,Yes,Poor,5.9,Medium,5
S0202,Male,Group C,Associate degree,Standard,None,56,34,60,No,21,No,6,Yes,Poor,2.8,Low,1
S0203,Male,Group E,Associate degree,Standard,Completed,50,56,93,Yes,14,Yes,1,No,Poor,0.9,High,5
S0204,Female,Group E,Bachelor's degree,Standard,Completed,72,97,82,Yes,20,No,7,Yes,Average,2.2,Medium,7
S0205,Female,Group B,Bachelor's degree,Free/Reduced,None,80,58,97,Yes,5,No,5,Yes,Good,2.2,High,1
S0206,Male,Group B,Some college,Standard,Completed,42,32,54,Yes,8,Yes,6,Yes,Good,1.1,Low,10
S0207,Female,Group E,Bachelor's degree,Standard,None,82,59,42,No,11,Yes,1,No,Poor,3.4,Medium,3
S0208,Male,Group C,Bachelor's degree,Free/Reduced,None,92,38,69,No,9,No,7,Yes,Good,3.8,Medium,6
S0209,Male,Group C,Associate degree,Free/Reduced,Completed,86,30,36,No,6,No,4,Yes,Good,4.5,High,1
S0210,Female,Group C,High school,Standard,Completed,54,52,61,Yes,4,No,3,No,Poor,0.8,High,3
S0211,Male,Group A,Master's degree,Free/Reduced,None,42,96,53,No,25,No,4,No,Poor,2,Medium,8
S0212,Male,Group A,Master's degree,Standard,Completed,66,61,30,No,22,No,9,Yes,Average,2.5,Low,9
S0213,Male,Group C,Bachelor's degree,Standard,None,59,35,76,Yes,7,Yes,5,No,Average,5.4,Low,7
S0214,Male,Group E,Bachelor's degree,Standard,None,41,78,80,Yes,26,No,5,Yes,Poor,5.5,Medium,4
S0215,Female,Group B,Master's degree,Standard,None,94,44,65,Yes,11,No,8,No,Average,1.9,Medium,7
S0216,Male,Group D,Associate degree,Free/Reduced,None,47,87,56,No,0,Yes,7,Yes,Average,3.2,Low,7
S0217,Female,Group B,Master's degree,Free/Reduced,None,91,82,99,Yes,9,No,3,No,Good,2.8,Low,7
S0218,Male,Group B,Master's degree,Free/Reduced,None,53,59,71,No,10,No,1,Yes,Poor,3.4,High,8
S0219,Female,Group D,Master's degree,Standard,Completed,89,69,97,Yes,26,No,2,Yes,Good,2.1,High,4
S0220,Male,Group C,Bachelor's degree,Standard,None,46,88,99,No,22,Yes,3,No,Good,3,Low,4
S0221,Male,Group B,Bachelor's degree,Free/Reduced,Completed,89,92,42,No,19,No,1,No,Poor,1.3,Medium,9
S0222,Female,Group D,Master's degree,Free/Reduced,Completed,38,77,54,Yes,4,Yes,1,No,Good,4.4,Medium,8
S0223,Female,Group E,Bachelor's degree,Standard,Completed,81,97,51,No,12,Yes,8,No,Average,2.5,High,4
S0224,Male,Group E,Master's degree,Free/Reduced,None,44,36,50,Yes,17,Yes,8,No,Average,3.5,Medium,6
S0225,Male,Group E,Associate degree,Free/Reduced,None,57,76,44,Yes,9,No,2,Yes,Average,3.8,Medium,9
S0226,Male,Group C,Bachelor's degree,Standard,Completed,38,72,96,Yes,20,Yes,8,Yes,Average,5.1,Medium,6
S0227,Male,Group B,High school,Free/Reduced,None,85,45,66,No,24,No,2,No,Average,0.9,Medium,5
S0228,Male,Group B,Bachelor's degree,Standard,Completed,65,51,74,No,16,No,5,Yes,Good,3.2,High,7
S0229,Female,Group A,Associate degree,Free/Reduced,None,85,92,55,No,18,Yes,1,Yes,Poor,5.4,Medium,2
S0230,Female,Group E,Associate degree,Free/Reduced,None,49,75,84,Yes,3,No,9,No,Good,2.3,Low,8
S0231,Male,Group C,Bachelor's degree,Standard,None,84,74,79,No,8,Yes,4,Yes,Good,2.9,High,7
S0232,Female,Group D,Some college,Standard,Completed,89,70,64,No,17,Yes,10,No,Average,1,Medium,6
S0233,Female,Group C,Master's degree,Standard,Completed,64,54,70,Yes,15,No,2,Yes,Average,4.6,Medium,3
S0234,Male,Group B,Master's degree,Standard,Completed,30,79,40,Yes,6,No,1,Yes,Good,1,Medium,9
S0235,Female,Group E,Associate degree,Standard,None,74,96,37,Yes,24,No,6,No,Good,4,High,2
S0236,Male,Group A,Bachelor's degree,Standard,None,98,81,83,Yes,11,No,8,Yes,Poor,2.6,Medium,4
S0237,Female,Group C,Some college,Free/Reduced,Completed,69,60,30,Yes,25,No,4,No,Poor,2.4,High,2
S0238,Female,Group A,High school,Free/Reduced,Completed,67,66,49,Yes,3,Yes,1,Yes,Poor,3.7,Low,6
S0239,Female,Group B,Master's degree,Standard,Completed,53,51,63,Yes,20,No,1,Yes,Poor,3.6,Medium,7
S0240,Female,Group D,Some college,Standard,None,33,56,86,No,27,No,6,Yes,Poor,2.7,High,9
S0241,Female,Group C,Master's degree,Standard,Completed,98,31,42,Yes,11,No,2,No,Average,2,Low,6
S0242,Male,Group B,Bachelor's degree,Free/Reduced,None,42,51,83,Yes,11,Yes,5,No,Poor,3.3,High,6
S0243,Female,Group E,Master's degree,Free/Reduced,None,50,82,82,Yes,25,Yes,2,Yes,Good,2,Medium,5
